loss_used_for_training,mode,test_mse,test_mae,train_time_sec
mse,batch,0.6943974289240603,0.6071013588353644,0.31
mse,stochastic,0.6057812901871632,0.5539790614435949,7.74
mse,minibatch,0.5220438800338931,0.539233483484917,0.42
mae,batch,0.9154247429177421,0.6926699006622896,0.15
mae,stochastic,0.5972607713844839,0.5544731942952896,9.09
mae,minibatch,0.5664015113994575,0.5435468839824992,0.41
